rev,vy,first_swing,steps,achieved_pct,trunk_z,tilt,dcm,cop,ankle,degraded,selfcol_ticks,selfcol_peak,fell_t,mass,survived,cond,MOM,KP_MOM,MOM_LEVEL
v6,-0.045,0,9,411,0.414,0.545,265.2,1.00,168,7,204,807.4,6.725,6.338,FELL,merge kp=100,1,100,post_merge
v6,-0.045,1,8,653,0.432,0.523,212.4,1.00,167,5,188,473.4,6.120,6.338,FELL,merge kp=100,1,100,post_merge
v6,+0.030,0,40,102,0.476,0.006,10.6,1.00,65,16,544,21.0,,6.338,SURVIVED,merge kp=100,1,100,post_merge
v6,+0.055,1,5,0,0.441,0.535,91.1,1.01,204,8,98,425.8,4.385,6.338,FELL,merge kp=100,1,100,post_merge
v6,+0.055,0,9,-371,0.411,0.527,396.6,1.00,174,4,185,423.3,6.455,6.338,FELL,merge kp=100,1,100,post_merge
v6,+0.030,1,40,93,0.465,0.263,13.1,1.00,114,8,575,25.6,,6.338,SURVIVED,merge kp=100,1,100,post_merge
v6,-0.055,0,5,-0,0.453,0.540,161.5,1.00,187,11,110,438.2,4.410,6.338,FELL,merge kp=100,1,100,post_merge
v6,+0.036,0,40,101,0.476,0.005,11.5,1.00,62,8,681,22.6,,6.338,SURVIVED,merge kp=100,1,100,post_merge
v6,+0.036,1,40,94,0.465,0.262,12.7,1.00,111,6,719,24.6,,6.338,SURVIVED,merge kp=100,1,100,post_merge
v6,-0.055,1,8,-255,0.440,0.529,273.6,1.00,121,4,177,423.6,6.345,6.338,FELL,merge kp=100,1,100,post_merge
v6,-0.036,1,40,101,0.476,0.005,11.5,1.00,68,1,682,21.5,,6.338,SURVIVED,merge kp=100,1,100,post_merge
