rev,vy,first_swing,MU_GROUND,steps,achieved_pct,trunk_z,tilt,dcm,cop,ankle,degraded,selfcol_ticks,selfcol_peak,fell_t,mass,survived,cond,SOLE_HALF_W
v2base,-0.073,0,2.0,12,120,0.435,0.523,248.2,1.01,222,105,8,89.9,8.510,6.630,FELL,mu 2.0,
v2base,+0.091,1,2.0,8,459,0.415,0.571,451.6,1.00,210,80,2,29.4,6.020,6.630,FELL,mu 2.0,
v2base,-0.073,1,2.0,11,278,0.367,0.558,374.9,1.00,148,101,4,86.6,7.650,6.630,FELL,mu 2.0,
v2base,-0.091,1,2.0,8,365,0.412,0.575,316.2,1.01,146,62,15,123.3,6.305,6.630,FELL,mu 2.0,
v2base,-0.091,0,2.0,14,139,0.408,0.541,198.0,1.01,189,97,3,264.1,9.345,6.630,FELL,mu 2.0,
v2_sole60,+0.045,0,,40,101,0.476,0.003,5.1,1.00,58,13,0,0.0,,6.630,SURVIVED,sole60 mu0.7,0.030
v2_sole60,+0.045,1,,40,95,0.476,0.003,5.1,1.00,60,23,0,0.0,,6.630,SURVIVED,sole60 mu0.7,0.030
v2_sole60,-0.045,0,,40,95,0.476,0.003,5.1,1.00,60,34,0,0.0,,6.630,SURVIVED,sole60 mu0.7,0.030
v2_sole60,-0.045,1,,40,101,0.476,0.003,5.1,1.00,60,27,0,0.0,,6.630,SURVIVED,sole60 mu0.7,0.030
v2_sole60,+0.050,0,,40,100,0.476,0.003,5.1,1.00,59,22,0,0.0,,6.630,SURVIVED,sole60 mu0.7,0.030
v2_sole60,+0.050,1,,40,95,0.476,0.003,5.1,1.00,59,20,0,0.0,,6.630,SURVIVED,sole60 mu0.7,0.030
v2_sole60,-0.050,0,,40,95,0.476,0.003,5.1,1.00,59,24,0,0.0,,6.630,SURVIVED,sole60 mu0.7,0.030
v2_sole60,-0.050,1,,40,100,0.476,0.003,5.1,1.00,59,27,0,0.0,,6.630,SURVIVED,sole60 mu0.7,0.030
v2_sole60,+0.055,0,,40,100,0.476,0.003,5.1,1.00,60,21,0,0.0,,6.630,SURVIVED,sole60 mu0.7,0.030
v2_sole60,+0.055,1,,40,95,0.476,0.003,5.1,1.00,61,17,0,0.0,,6.630,SURVIVED,sole60 mu0.7,0.030
v2_sole60,-0.055,0,,40,95,0.476,0.003,5.1,1.00,59,28,0,0.0,,6.630,SURVIVED,sole60 mu0.7,0.030
v2_sole60,-0.055,1,,40,100,0.476,0.003,5.1,1.00,58,24,0,0.0,,6.630,SURVIVED,sole60 mu0.7,0.030
v2_sole60,+0.065,0,,40,100,0.476,0.003,7.7,1.00,63,31,8,3.4,,6.630,SURVIVED,sole60 mu0.7,0.030
v2_sole60,+0.065,1,,40,96,0.476,0.003,5.1,1.00,63,36,8,3.2,,6.630,SURVIVED,sole60 mu0.7,0.030
v2_sole60,-0.065,0,,40,96,0.476,0.003,9.9,1.00,64,25,18,7.8,,6.630,SURVIVED,sole60 mu0.7,0.030
v2_sole60,-0.065,1,,40,100,0.476,0.014,11.8,1.00,63,27,9,5.1,,6.630,SURVIVED,sole60 mu0.7,0.030
v2_sole60,+0.091,1,,9,50,0.398,0.536,567.1,1.01,169,41,108,81.1,6.605,6.630,FELL,sole60 mu0.7,0.030
v2_sole60,-0.091,1,,9,317,0.399,0.534,266.5,1.00,186,24,42,108.4,6.560,6.630,FELL,sole60 mu0.7,0.030
v2_sole60,+0.073,0,,40,99,0.476,0.012,19.7,1.00,104,41,176,57.4,,6.630,SURVIVED,sole60 mu0.7,0.030
v2_sole60,+0.073,1,,40,96,0.476,0.008,17.6,1.00,74,24,158,18.1,,6.630,SURVIVED,sole60 mu0.7,0.030
v2_sole60,+0.091,0,,40,99,0.469,0.025,15.8,1.00,92,23,352,22.0,,6.630,SURVIVED,sole60 mu0.7,0.030
v2_sole60,-0.073,0,,40,96,0.476,0.008,15.2,1.00,74,24,183,19.4,,6.630,SURVIVED,sole60 mu0.7,0.030
v2_sole60,-0.073,1,,40,99,0.476,0.010,16.4,1.00,67,23,127,7.4,,6.630,SURVIVED,sole60 mu0.7,0.030
v2_sole60,-0.091,0,,40,96,0.468,0.013,21.4,1.01,82,25,332,11.3,,6.630,SURVIVED,sole60 mu0.7,0.030
v2_sole60,+0.045,0,0.9,40,101,0.476,0.003,5.1,1.00,59,30,0,0.0,,6.630,SURVIVED,sole60 mu0.9,0.030
