rev,vy,first_swing,steps,achieved_pct,trunk_z,tilt,dcm,cop,ankle,degraded,selfcol_ticks,selfcol_peak,fell_t,mass,survived,cond,MOM,KP_MOM,MOM_LEVEL,MOM_AXES
v6,-0.055,1,3,-0,0.428,0.536,79.7,1.01,198,16,562,1063.1,3.455,6.338,FELL,swing> kp=30,1,30,swing_before,
v6,-0.055,0,5,-0,0.415,0.548,313.3,1.01,150,25,639,398.8,4.305,6.338,FELL,swing> kp=30,1,30,swing_before,
v6,+0.055,0,7,-310,0.434,0.522,240.6,1.00,180,35,728,991.2,5.385,6.338,FELL,swing> kp=30,1,30,swing_before,
v6,-0.022,0,5,-0,0.458,0.524,94.8,1.00,157,2,87,354.0,4.380,6.338,FELL,post< xyz kp=3,1,3,post_after,xyz
v6,+0.022,1,7,2617,0.458,0.538,148.9,1.00,132,3,126,405.1,5.490,6.338,FELL,post< xyz kp=3,1,3,post_after,xyz
v6,+0.026,1,4,0,0.404,0.525,328.0,1.00,139,0,74,365.8,4.030,6.338,FELL,post< xyz kp=3,1,3,post_after,xyz
v6,+0.026,0,6,0,0.424,0.532,250.6,1.00,201,2,109,387.5,5.005,6.338,FELL,post< xyz kp=3,1,3,post_after,xyz
v6,-0.026,1,6,-0,0.422,0.526,289.4,1.00,176,2,106,392.6,5.030,6.338,FELL,post< xyz kp=3,1,3,post_after,xyz
v6,+0.018,0,40,105,0.476,0.005,11.5,1.00,62,9,460,21.8,,6.338,SURVIVED,post< xyz kp=3,1,3,post_after,xyz
v6,+0.018,1,40,89,0.465,0.268,15.1,1.00,117,5,496,29.5,,6.338,SURVIVED,post< xyz kp=3,1,3,post_after,xyz
v6,-0.018,0,40,89,0.465,0.268,15.2,1.00,118,17,498,37.9,,6.338,SURVIVED,post< xyz kp=3,1,3,post_after,xyz
v6,-0.018,1,40,105,0.476,0.005,11.5,1.00,62,12,463,21.7,,6.338,SURVIVED,post< xyz kp=3,1,3,post_after,xyz
v6,+0.022,0,40,104,0.476,0.005,11.7,1.00,62,6,483,20.8,,6.338,SURVIVED,post< xyz kp=3,1,3,post_after,xyz
v6,-0.022,1,40,104,0.476,0.005,11.7,1.00,62,7,484,21.4,,6.338,SURVIVED,post< xyz kp=3,1,3,post_after,xyz
v6,+0.036,1,5,0,0.434,0.526,249.2,1.00,202,2,95,422.5,4.435,6.338,FELL,post< xyz kp=3,1,3,post_after,xyz
v6,-0.036,0,5,-0,0.433,0.530,260.8,1.00,202,1,94,422.4,4.440,6.338,FELL,post< xyz kp=3,1,3,post_after,xyz
v6,+0.045,0,4,0,0.445,0.528,197.2,1.00,173,0,75,401.5,3.870,6.338,FELL,post< xyz kp=3,1,3,post_after,xyz
v6,-0.026,0,40,92,0.466,0.235,13.1,1.01,110,9,565,27.3,,6.338,SURVIVED,post< xyz kp=3,1,3,post_after,xyz
v6,+0.030,0,40,102,0.476,0.006,11.8,1.00,62,6,541,20.6,,6.338,SURVIVED,post< xyz kp=3,1,3,post_after,xyz
v6,+0.045,1,9,281,0.435,0.533,65.1,1.00,179,19,191,782.2,6.625,6.338,FELL,post< xyz kp=3,1,3,post_after,xyz
v6,-0.045,0,9,433,0.411,0.527,314.3,1.00,152,14,220,674.8,6.750,6.338,FELL,post< xyz kp=3,1,3,post_after,xyz
v6,-0.045,1,4,-0,0.445,0.526,198.0,1.00,173,1,75,401.3,3.870,6.338,FELL,post< xyz kp=3,1,3,post_after,xyz
v6,+0.055,1,5,0,0.447,0.539,130.6,1.00,201,0,101,380.0,4.385,6.338,FELL,post< xyz kp=3,1,3,post_after,xyz
v6,+0.055,0,9,-344,0.402,0.531,362.3,1.00,194,13,191,426.9,6.450,6.338,FELL,post< xyz kp=3,1,3,post_after,xyz
v6,+0.030,1,40,93,0.465,0.262,11.8,1.00,114,8,577,25.7,,6.338,SURVIVED,post< xyz kp=3,1,3,post_after,xyz
v6,-0.030,0,40,93,0.465,0.265,13.7,1.00,115,7,575,29.3,,6.338,SURVIVED,post< xyz kp=3,1,3,post_after,xyz
v6,-0.030,1,40,102,0.476,0.006,11.8,1.00,67,8,541,20.4,,6.338,SURVIVED,post< xyz kp=3,1,3,post_after,xyz
v6,-0.055,0,5,-0,0.439,0.522,174.7,1.00,207,0,104,380.6,4.395,6.338,FELL,post< xyz kp=3,1,3,post_after,xyz
v6,+0.036,0,40,101,0.476,0.005,11.5,1.00,62,9,680,22.9,,6.338,SURVIVED,post< xyz kp=3,1,3,post_after,xyz
v6,-0.055,1,9,-381,0.412,0.528,419.8,1.00,184,12,202,423.6,6.510,6.338,FELL,post< xyz kp=3,1,3,post_after,xyz
v6,-0.036,1,40,101,0.476,0.005,11.5,1.00,65,3,681,22.7,,6.338,SURVIVED,post< xyz kp=3,1,3,post_after,xyz
